"Playoff.Wins","FGA","FG_perc","X3PA","X3P_perc","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","O_FGA","O_FG_perc","O_3PA","O_3P_perc","O_2P","O_FTA","O_FT_perc","O_ORB","O_DRB","O_AST","O_STL","O_BLK","O_TOV","O_PF","O_PTS","W","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","X3PAr","eFG_perc","TOV_perc","ORB_perc","FT.FGA","eFG_perc_1","TOV_perc_2","DRB_perc","FT.FGA_3","Attendance"
6,28,3,8,2,5,30,27,3,11,6,21,10,12,3,9,11,4,15,11,6,11,15,2,3,10,4,2,28,15,6,1,2,29,2,6,7,25,3,7,3,16,22,8,3,25,2,13,2
4,12,11,15,9,23,15,6,23,17,12,15,14,1,8,13,10,16,7,9,16,6,3,20,13,17,2,7,20,28,10,6,7,24,7,2,13,27,24,18,11,1,5,23,16,18,24,8,18
4,18,6,11,11,18,24,18,5,9,7,26,22,10,13,15,13,12,1,7,20,9,13,5,10,3,8,20,30,19,8,9,4,16,4,9,8,20,16,9,7,11,14,20,4,28,4,10,10
4,23,2,25,7,2,23,20,9,12,1,4,16,26,29,4,6,8,22,16,3,28,19,7,4,8,23,26,5,5,12,6,3,15,3,8,10,9,5,24,4,26,13,4,13,5,5,30,6
3,2,29,5,12,29,17,8,11,7,14,19,20,5,25,23,3,10,2,7,7,27,23,1,27,4,10,21,4,20,7,14,14,28,14,23,2,19,30,6,25,4,18,30,8,4,3,29,23
2,14,12,13,5,25,1,24,10,17,3,10,6,3,1,11,19,15,18,10,17,5,16,20,23,9,7,5,10,21,15,4,12,19,12,10,12,17,26,14,13,3,26,15,15,12,15,6,4
2,17,10,12,10,1,9,17,16,20,18,3,13,11,27,3,17,14,14,13,15,26,27,26,17,18,13,23,7,1,20,6,8,10,8,3,16,5,1,12,10,8,19,1,14,10,26,24,13
2,20,14,23,25,3,2,10,8,3,23,6,1,24,20,14,14,7,10,3,12,17,21,25,7,7,21,14,5,11,11,9,10,10,9,12,9,12,6,23,19,24,3,2,5,7,17,18,12
2,26,15,19,13,12,3,14,28,26,21,25,24,2,19,21,2,18,8,6,10,8,4,4,1,5,1,4,23,9,3,9,11,21,11,7,15,30,10,17,14,2,4,5,17,15,7,14,3
1,10,23,29,28,20,18,12,2,1,19,24,2,15,11,24,26,3,28,12,9,14,2,18,22,15,13,23,24,24,13,17,18,14,18,27,11,11,20,29,28,15,16,21,7,24,8,9,1
1,25,17,17,19,21,19,19,13,15,28,12,4,4,16,25,5,2,20,5,1,20,11,8,15,1,3,6,12,25,2,13,13,26,13,19,6,28,14,16,16,9,20,17,2,8,6,22,15
0,29,22,22,21,5,20,21,19,22,22,8,7,29,5,28,7,6,30,2,2,1,1,9,5,11,20,29,3,6,1,15,15,22,15,24,1,26,2,19,24,30,17,3,12,3,10,1,22
